#| *Dataset id* | *Process* | *Generator* | *cross section*BR* | k-factor | name 

# signals
167154 | W->munu, Wpt>0, massive B, B-Veto              | Sherpa        | 11.03E+03 | 9.8328E-01 | 1 | W_backup1
167155 | W->taunu, Wpt>0, massive B, B-Veto     | Sherpa        | 11.03E+03 | 9.8328E-01 | 1 | W_backup1

167156 | W->enu, Wpt>140, massive B, B-Filter   | Sherpa        | 3.3150E+01 |          6.5963E-02 | 1 | W_backup1
167157 | W->munu, Wpt>140, massive B, B-Filter  | Sherpa        | 3.3150E+01 |          6.5963E-02 | 1 | W_backup1
167158 | W->taunu, Wpt>140, massive B, B-Filter | Sherpa        | 3.3150E+01 |          6.5963E-02 | 1 | W_backup1
167159 | W->enu, Wpt>140, massive B, B-Veto     | Sherpa        |3.3150E+01 | 9.3429E-01  | 1 | W_backup1
167160 | W->munu, Wpt>140, massive B, B-Veto    | Sherpa        |3.3150E+01 | 9.3429E-01  | 1 | W_backup1
167161 | W->taunu, Wpt>140, massive B,  B-Veto  | Sherpa        | 3.3150E+01 | 9.3429E-01  | 1 | W_backup1
                                                          								
161995 | Herwig_AUET2CTEQ6L1_WW_NoLeptonFilter  | Herwig                | 55.4270       | 1  | 1             | WW_backup1
161997 | Herwig_AUET2CTEQ6L1_ZZ_NoLeptonFilter  | Herwig                | 7.3586        | 1  | 1             | ZZ_backup1
161996 | Herwig_AUET2CTEQ6L1_WZ_NoLeptonFilter  | Herwig                | 22.6942       | 1  | 1             | WZ_backup1
146902 | ZZ Inclusive                           | Pythia8               | 1             | 1  | 1          | ZZ_backup2
146900 | WW Inclusive                           | Pythia8               | 1             | 1  | 1          | WW_backup2
105985 | WW 									                  | Herwig 		| 12.42 	| 1.48 	| 1	| WW
105986 | ZZ 									                  | Herwig 		| 0.993 	| 1.3 	| 1	| ZZ
105987 | WZ 									                  | Herwig 		| 3.668 	| 1.6 	| 1	| WZ
                                                       	



end

157535 | W->munu, Wpt>200, massless HF					| Sherpa 	| 1 | | | 
157536 | W->taunu, Wpt>200, massless HF 					| Sherpa 	| 1 | | | 
